prov_Gemcode,provcode,Gemcodel,provcodel
881,31,Onderbanken,Limburg
1894,31,Peel en Maas,Limburg
1669,31,Roerdalen,Limburg
957,31,Roermond,Limburg
962,31,Schinnen,Limburg
965,31,Simpelveld,Limburg
1883,31,Sittard-Geleen,Limburg
971,31,Stein,Limburg
981,31,Vaals,Limburg
994,31,Valkenburg aan de Geul,Limburg
983,31,Venlo,Limburg
984,31,Venray,Limburg
986,31,Voerendaal,Limburg
988,31,Weert,Limburg
1930,28,Nissewaard,Zuid-Holland
1931,28,Krimpenerwaard,Zuid-Holland
1940,21,De Fryske Marren,Friesland
1942,27,Gooise Meren,Noord-Holland
1945,25,Berg en Dal,Gelderland
1948,30,Meierijstad,Noord-Brabant
